fold,model,scenario,k,status,train_expected_risk,cutpoints,weeks,counts,repeat,scale,effective_groups,merged_cuts,merged_weeks,merged_counts,fraction_at_25,mean_week
0,q2,high_delay,4,bootstrap_conditional,0.229418526488056,"[29.26591345677795, 29.75646442, 30.47595403]","[11.0, 11.0, 11.0, 11.0]","[47, 25, 35, 160]",9,0.0,1,[],[11.0],[267],0.0,11.0
0,q3_basic,step_only,4,bootstrap_conditional,0.1467618134924391,"[28.60860758525625, 29.37857702, 30.060693649999997]","[12.857142857142858, 12.857142857142858, 25.0, 25.0]","[26, 27, 28, 186]",9,0.0,2,[29.37857702],"[12.857142857142858, 25.0]","[53, 214]",0.8014981273408239,22.589620117710005
0,q3_basic,low_delay,4,bootstrap_conditional,0.1888558398013883,"[31.835775192944702, 32.542167035, 33.5885526]","[12.857142857142858, 24.714285714285715, 12.857142857142858, 25.0]","[149, 28, 26, 64]",9,0.0,4,"[31.835775192944702, 32.542167035, 33.5885526]","[12.857142857142858, 24.714285714285715, 12.857142857142858, 25.0]","[149, 28, 26, 64]",0.2397003745318352,17.01123595505618
0,q3_basic,medium_delay,4,bootstrap_conditional,0.2288648147730259,"[31.835775192944702, 32.542167035, 33.5885526]","[11.0, 12.857142857142858, 12.571428571428571, 12.857142857142858]","[149, 28, 26, 64]",9,0.0,4,"[31.835775192944702, 32.542167035, 33.5885526]","[11.0, 12.857142857142858, 12.571428571428571, 12.857142857142858]","[149, 28, 26, 64]",0.0,11.792937399678971
0,q3_basic,high_delay,4,bootstrap_conditional,0.2317283282879954,"[29.26591345677795, 29.75646442, 30.4015372572209]","[11.0, 11.0, 11.0, 11.0]","[47, 25, 29, 166]",9,0.0,1,[],[11.0],[267],0.0,11.0
0,q2,step_only,4,bootstrap_conditional,0.1513047954117033,"[29.5907377837715, 30.456294565, 35.00033464]","[12.857142857142858, 25.0, 25.0, 25.0]","[67, 39, 128, 33]",9,0.5,2,[29.5907377837715],"[12.857142857142858, 25.0]","[67, 200]",0.7490636704119851,21.95291599785982
0,q2,low_delay,4,bootstrap_conditional,0.1887793482747471,"[28.60860758525625, 29.35954207201715, 33.5885526]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[26, 25, 152, 64]",9,0.5,2,[33.5885526],"[12.857142857142858, 25.0]","[203, 64]",0.2397003745318352,15.767790262172285
0,q2,medium_delay,4,bootstrap_conditional,0.2199480635439172,"[29.26591345677795, 33.3642043449261, 34.10245052764635]","[11.0, 11.0, 12.285714285714286, 12.857142857142858]","[47, 152, 25, 43]",9,0.5,3,"[33.3642043449261, 34.10245052764635]","[11.0, 12.285714285714286, 12.857142857142858]","[199, 25, 43]",0.0,11.41947565543071
0,q2,high_delay,4,bootstrap_conditional,0.2208483369078412,"[29.26591345677795, 29.75646442, 30.75052001013085]","[11.0, 11.0, 11.0, 11.0]","[47, 25, 49, 146]",9,0.5,1,[],[11.0],[267],0.0,11.0
0,q3_basic,step_only,4,bootstrap_conditional,0.1497405290757926,"[29.37857702, 30.2798105797449, 30.761083097004153]","[12.857142857142858, 25.0, 12.857142857142858, 25.0]","[53, 43, 26, 145]",9,0.5,4,"[29.37857702, 30.2798105797449, 30.761083097004153]","[12.857142857142858, 25.0, 12.857142857142858, 25.0]","[53, 43, 26, 145]",0.704119850187266,21.4071696094168
0,q3_basic,low_delay,4,bootstrap_conditional,0.1881329152542503,"[28.60860758525625, 29.415395388195698, 33.411452741852145]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[26, 35, 140, 66]",9,0.5,2,[33.411452741852145],"[12.857142857142858, 25.0]","[201, 66]",0.24719101123595505,15.858747993579453
0,q3_basic,medium_delay,4,bootstrap_conditional,0.2215447074064915,"[29.26591345677795, 32.1885791644288, 33.411452741852145]","[11.0, 11.0, 11.428571428571429, 12.857142857142858]","[47, 116, 38, 66]",9,0.5,3,"[32.1885791644288, 33.411452741852145]","[11.0, 11.428571428571429, 12.857142857142858]","[163, 38, 66]",0.0,11.520064205457464
0,q3_basic,high_delay,4,bootstrap_conditional,0.2228930548201474,"[29.32178088201715, 30.3292723037254, 31.247618505]","[11.0, 11.0, 11.0, 11.0]","[50, 47, 32, 138]",9,0.5,1,[],[11.0],[267],0.0,11.0
0,q2,step_only,4,bootstrap_conditional,0.1597652704996596,"[29.26591345677795, 29.92762346, 31.13775394781495]","[12.857142857142858, 25.0, 25.0, 25.0]","[47, 29, 50, 141]",9,1.0,2,[29.26591345677795],"[12.857142857142858, 25.0]","[47, 220]",0.8239700374531835,22.862493311931516
