fold,model,scenario,k,status,train_expected_risk,heldout_expected_risk,heldout_subjects,heldout_outside_bmi_range,cutpoints,weeks,counts
2,q3_full,low_delay,1,model_dependent,0.2095960811736456,0.209202167796448,54,0,[],[12.857142857142858],[213]
2,q3_full,low_delay,3,model_dependent,0.1974708787221027,0.20163145537131502,54,0,"[29.02116332289075, 33.411452741852145]","[12.857142857142858, 12.857142857142858, 25.0]","[28, 134, 51]"
2,q3_full,low_delay,4,model_dependent,0.19603812558652012,0.20196862323544032,54,0,"[31.5045234250675, 32.566909555448945, 33.51725612668065]","[12.857142857142858, 24.428571428571427, 12.857142857142858, 25.0]","[113, 27, 25, 48]"
2,q3_full,medium_delay,1,model_dependent,0.2374398002076842,0.2370779264014621,54,0,[],[12.714285714285714],[213]
2,q3_full,medium_delay,3,model_dependent,0.23618398958234485,0.23594538156584016,54,0,"[29.398260685, 31.5045234250675]","[11.0, 11.714285714285714, 12.857142857142858]","[43, 70, 100]"
2,q3_full,medium_delay,4,model_dependent,0.23612197092392503,0.2367159018294895,54,0,"[31.145124715, 32.566909555448945, 33.51725612668065]","[11.0, 12.857142857142858, 11.428571428571429, 12.857142857142858]","[103, 37, 25, 48]"
2,q3_full,high_delay,1,model_dependent,0.23915719784682224,0.23921547766980775,54,0,[],[11.0],[213]
2,q3_full,high_delay,3,model_dependent,0.23915719784682224,0.23921547766980775,54,0,"[29.130029079670052, 29.89542649103325]","[11.0, 11.0, 11.0]","[34, 26, 153]"
2,q3_full,high_delay,4,model_dependent,0.2391571978468222,0.23921547766980775,54,0,"[29.334636189999998, 30.456294565, 33.128525569527596]","[11.0, 11.0, 11.0, 11.0]","[41, 40, 72, 60]"
3,q2,step_only,1,model_dependent,0.15202761135005682,0.14726923908216394,53,0,[],[25.0],[214]
3,q2,step_only,3,model_dependent,0.15032530385799633,0.14600827111832557,53,0,"[29.55072956140705, 30.48501834]","[12.857142857142858, 25.0, 25.0]","[44, 41, 129]"
3,q2,step_only,4,model_dependent,0.15032530385799633,0.14600827111832557,53,0,"[29.55072956140705, 30.48501834, 32.5165379383577]","[12.857142857142858, 25.0, 25.0, 25.0]","[44, 41, 52, 77]"
3,q2,low_delay,1,model_dependent,0.18567330996738435,0.1758343468515767,53,0,[],[12.857142857142858],[214]
3,q2,low_delay,3,model_dependent,0.18256828412143933,0.17577945265420838,53,0,"[29.130029079670052, 34.930506245000004]","[12.857142857142858, 12.857142857142858, 25.0]","[30, 153, 31]"
3,q2,low_delay,4,model_dependent,0.18256828412143933,0.17577945265420838,53,0,"[28.95839341789075, 29.858344816033252, 34.930506245000004]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[26, 30, 127, 31]"
3,q2,medium_delay,1,model_dependent,0.20586165275401555,0.1953522715160277,53,0,[],[11.0],[214]
3,q2,medium_delay,3,model_dependent,0.20566349745717163,0.19533396265236827,53,0,"[29.130029079670052, 35.5839735271325]","[11.0, 11.0, 12.857142857142858]","[30, 159, 25]"
3,q2,medium_delay,4,model_dependent,0.20566349745717163,0.19533396265236827,53,0,"[29.130029079670052, 30.2798105797449, 35.5839735271325]","[11.0, 11.0, 11.0, 12.857142857142858]","[30, 40, 119, 25]"
3,q2,high_delay,1,model_dependent,0.20586165275401555,0.1953522715160277,53,0,[],[11.0],[214]
3,q2,high_delay,3,model_dependent,0.20586165275401555,0.1953522715160277,53,0,"[29.130029079670052, 30.2798105797449]","[11.0, 11.0, 11.0]","[30, 40, 144]"
3,q2,high_delay,4,model_dependent,0.20586165275401555,0.1953522715160277,53,0,"[29.130029079670052, 30.2798105797449, 31.247618505]","[11.0, 11.0, 11.0, 11.0]","[30, 40, 33, 111]"
3,q3_basic,step_only,1,model_dependent,0.1514681140987774,0.14880221038749578,53,0,[],[25.0],[214]
3,q3_basic,step_only,3,model_dependent,0.14990837636332838,0.14831627265459268,53,0,"[29.35954207201715, 30.435518495]","[12.857142857142858, 25.0, 25.0]","[37, 40, 137]"
3,q3_basic,step_only,4,model_dependent,0.14973571799060625,0.1475158712321674,53,0,"[29.35954207201715, 30.2798105797449, 31.145124715]","[12.857142857142858, 24.857142857142858, 12.857142857142858, 25.0]","[37, 33, 28, 116]"
3,q3_basic,low_delay,1,model_dependent,0.18593445558107904,0.18101765688578925,53,0,[],[12.857142857142858],[214]
3,q3_basic,low_delay,3,model_dependent,0.18118680032263637,0.17961412419886952,53,0,"[28.95839341789075, 35.55795257478585]","[12.857142857142858, 12.857142857142858, 24.857142857142858]","[26, 162, 26]"
