fold,model,scenario,k,status,train_expected_risk,heldout_expected_risk,heldout_subjects,heldout_outside_bmi_range,cutpoints,weeks,counts,effective_groups,merged_cutpoints,merged_weeks,merged_counts,boundary_groups
2,q3_full,step_only,1,model_dependent,0.1454209340949089,0.1441552187680486,54,0,[],[25.0],[213],1,[],[25.0],[213],1
2,q3_full,step_only,3,model_dependent,0.1454209340949089,0.1441552187680486,54,0,"[29.172108809999997, 30.90413263054825]","[25.0, 25.0, 25.0]","[38, 62, 113]",1,[],[25.0],[213],1
2,q3_full,step_only,4,model_dependent,0.1454209340949089,0.1441552187680486,54,0,"[29.172108809999997, 30.7981037518733, 33.48942369335015]","[25.0, 25.0, 25.0, 25.0]","[38, 60, 66, 49]",1,[],[25.0],[213],1
2,q3_full,low_delay,1,model_dependent,0.2095960811736456,0.209202167796448,54,0,[],[12.857142857142858],[213],1,[],[12.857142857142858],[213],0
2,q3_full,low_delay,3,model_dependent,0.1974708787221027,0.201631455371315,54,0,"[29.02116332289075, 33.411452741852145]","[12.857142857142858, 12.857142857142858, 25.0]","[28, 134, 51]",2,[33.411452741852145],"[12.857142857142858, 25.0]","[162, 51]",1
2,q3_full,low_delay,4,model_dependent,0.1960381255865201,0.2019686232354403,54,0,"[31.5045234250675, 32.566909555448945, 33.51725612668065]","[12.857142857142858, 24.428571428571427, 12.857142857142858, 25.0]","[113, 27, 25, 48]",4,"[31.5045234250675, 32.566909555448945, 33.51725612668065]","[12.857142857142858, 24.428571428571427, 12.857142857142858, 25.0]","[113, 27, 25, 48]",1
2,q3_full,medium_delay,1,model_dependent,0.2374398002076842,0.2370779264014621,54,0,[],[12.714285714285714],[213],1,[],[12.714285714285714],[213],0
2,q3_full,medium_delay,3,model_dependent,0.2361839895823448,0.2359453815658401,54,0,"[29.398260685, 31.5045234250675]","[11.0, 11.714285714285714, 12.857142857142858]","[43, 70, 100]",3,"[29.398260685, 31.5045234250675]","[11.0, 11.714285714285714, 12.857142857142858]","[43, 70, 100]",1
2,q3_full,medium_delay,4,model_dependent,0.236121970923925,0.2367159018294895,54,0,"[31.145124715, 32.566909555448945, 33.51725612668065]","[11.0, 12.857142857142858, 11.428571428571429, 12.857142857142858]","[103, 37, 25, 48]",4,"[31.145124715, 32.566909555448945, 33.51725612668065]","[11.0, 12.857142857142858, 11.428571428571429, 12.857142857142858]","[103, 37, 25, 48]",1
2,q3_full,high_delay,1,model_dependent,0.2391571978468222,0.2392154776698077,54,0,[],[11.0],[213],1,[],[11.0],[213],1
2,q3_full,high_delay,3,model_dependent,0.2391571978468222,0.2392154776698077,54,0,"[29.130029079670052, 29.89542649103325]","[11.0, 11.0, 11.0]","[34, 26, 153]",1,[],[11.0],[213],1
2,q3_full,high_delay,4,model_dependent,0.2391571978468222,0.2392154776698077,54,0,"[29.334636189999998, 30.456294565, 33.128525569527596]","[11.0, 11.0, 11.0, 11.0]","[41, 40, 72, 60]",1,[],[11.0],[213],1
3,q2,step_only,1,model_dependent,0.1520276113500568,0.1472692390821639,53,0,[],[25.0],[214],1,[],[25.0],[214],1
