fold,model,scenario,k,status,train_expected_risk,cutpoints,weeks,counts,threshold,effective_groups,merged_cutpoints,merged_weeks,merged_counts
0,q2,low_delay,4,full_data_conditional,0.24094321908730107,"[29.0780592777865, 29.760862715000002, 31.255424249441752]","[12.857142857142858, 25.0, 25.0, 25.0]","[38, 30, 64, 135]",0.045,2,[29.0780592777865],"[12.857142857142858, 25.0]","[38, 229]"
0,q2,medium_delay,1,full_data_conditional,0.29884250612111624,[],[12.857142857142858],[267],0.045,1,[],[12.857142857142858],[267]
0,q2,medium_delay,3,full_data_conditional,0.29879714451611716,"[28.7075496663795, 29.398260685]","[11.857142857142858, 12.857142857142858, 12.857142857142858]","[25, 27, 215]",0.045,2,[28.7075496663795],"[11.857142857142858, 12.857142857142858]","[25, 242]"
0,q2,medium_delay,4,full_data_conditional,0.29879714451611716,"[28.7075496663795, 29.37857702, 30.0196636680224]","[11.857142857142858, 12.857142857142858, 12.857142857142858, 12.857142857142858]","[25, 25, 26, 191]",0.045,2,[28.7075496663795],"[11.857142857142858, 12.857142857142858]","[25, 242]"
0,q2,high_delay,1,full_data_conditional,0.3045705929491201,[],[11.0],[267],0.045,1,[],[11.0],[267]
0,q2,high_delay,3,full_data_conditional,0.3045705929491201,"[29.02116332289075, 29.749820315464298]","[11.0, 11.0, 11.0]","[34, 30, 203]",0.045,1,[],[11.0],[267]
0,q2,high_delay,4,full_data_conditional,0.3045705929491201,"[29.02116332289075, 29.749820315464298, 30.435518495]","[11.0, 11.0, 11.0, 11.0]","[34, 30, 34, 169]",0.045,1,[],[11.0],[267]
0,q3_basic,step_only,1,full_data_conditional,0.17206789810292908,[],[25.0],[267],0.045,1,[],[25.0],[267]
0,q3_basic,step_only,3,full_data_conditional,0.17206789810292905,"[29.05951596, 30.0196636680224]","[25.0, 25.0, 25.0]","[37, 39, 191]",0.045,1,[],[25.0],[267]
0,q3_basic,step_only,4,full_data_conditional,0.17206789810292905,"[29.0780592777865, 30.2646582128532, 31.743230699999998]","[25.0, 25.0, 25.0, 25.0]","[38, 52, 56, 121]",0.045,1,[],[25.0],[267]
0,q3_basic,low_delay,1,full_data_conditional,0.24206789810292909,[],[25.0],[267],0.045,1,[],[25.0],[267]
0,q3_basic,low_delay,3,full_data_conditional,0.2410756858776638,"[29.37857702, 30.85851518]","[12.857142857142858, 25.0, 25.0]","[50, 71, 146]",0.045,2,[29.37857702],"[12.857142857142858, 25.0]","[50, 217]"
0,q3_basic,low_delay,4,full_data_conditional,0.2410756858776638,"[28.7075496663795, 29.37857702, 30.85851518]","[12.857142857142858, 12.857142857142858, 25.0, 25.0]","[25, 25, 71, 146]",0.045,2,[29.37857702],"[12.857142857142858, 25.0]","[50, 217]"
0,q3_basic,medium_delay,1,full_data_conditional,0.29962645210559996,[],[12.857142857142858],[267],0.045,1,[],[12.857142857142858],[267]
0,q3_basic,medium_delay,3,full_data_conditional,0.2996096816067444,"[28.7075496663795, 29.37857702]","[12.285714285714286, 12.714285714285714, 12.857142857142858]","[25, 25, 217]",0.045,3,"[28.7075496663795, 29.37857702]","[12.285714285714286, 12.714285714285714, 12.857142857142858]","[25, 25, 217]"
0,q3_basic,medium_delay,4,full_data_conditional,0.2996096816067444,"[28.7075496663795, 29.37857702, 29.975810298022402]","[12.285714285714286, 12.714285714285714, 12.857142857142858, 12.857142857142858]","[25, 25, 25, 192]",0.045,3,"[28.7075496663795, 29.37857702]","[12.285714285714286, 12.714285714285714, 12.857142857142858]","[25, 25, 217]"
0,q3_basic,high_delay,1,full_data_conditional,0.30558163394727,[],[11.0],[267],0.045,1,[],[11.0],[267]
0,q3_basic,high_delay,3,full_data_conditional,0.30558163394727,"[29.02116332289075, 29.749820315464298]","[11.0, 11.0, 11.0]","[34, 30, 203]",0.045,1,[],[11.0],[267]
0,q3_basic,high_delay,4,full_data_conditional,0.30558163394727,"[29.02116332289075, 29.749820315464298, 30.435518495]","[11.0, 11.0, 11.0, 11.0]","[34, 30, 34, 169]",0.045,1,[],[11.0],[267]
